[13.09.2026 17:36:50] ID:8930466795 | @cevetri | aula | нажал кнопку: files
[13.09.2026 17:36:55] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 17:42:30] ID:8930466795 | @cevetri | aula | нажал /start
[13.09.2026 17:42:38] ID:8930466795 | @cevetri | aula | вошёл в бота (пароль верный)
[13.09.2026 17:42:41] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 17:42:47] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 17:42:50] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 17:42:52] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 17:42:53] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 17:43:09] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 17:43:32] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 17:43:34] ID:8930466795 | @cevetri | aula | нажал кнопку: music_pause
[13.09.2026 17:43:47] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 17:43:54] ID:8930466795 | @cevetri | aula | нажал кнопку: stream
[13.09.2026 17:43:56] ID:8930466795 | @cevetri | aula | нажал кнопку: stream_3
[13.09.2026 17:49:09] ID:8930466795 | @cevetri | aula | нажал кнопку: stream
[13.09.2026 17:49:33] ID:8930466795 | @cevetri | aula | нажал кнопку: pc_info
[13.09.2026 17:49:48] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 17:49:54] ID:8930466795 | @cevetri | aula | нажал кнопку: show_image
[13.09.2026 17:49:57] ID:8930466795 | @cevetri | aula | нажал кнопку: img_dur_60
[13.09.2026 17:50:06] ID:8930466795 | @cevetri | aula | нажал кнопку: screenshot
[13.09.2026 17:53:50] ID:8930466795 | @cevetri | aula | нажал кнопку: show_image
[13.09.2026 17:53:59] ID:8930466795 | @cevetri | aula | нажал кнопку: show_image
[13.09.2026 17:54:02] ID:8930466795 | @cevetri | aula | нажал кнопку: img_dur_60
[13.09.2026 17:54:36] ID:8930466795 | @cevetri | aula | нажал кнопку: pc_info
[13.09.2026 17:54:50] ID:8930466795 | @cevetri | aula | нажал кнопку: back
[13.09.2026 17:54:54] ID:8930466795 | @cevetri | aula | нажал кнопку: files
[13.09.2026 17:54:56] ID:8930466795 | @cevetri | aula | нажал кнопку: fm:home:1111
[13.09.2026 17:55:05] ID:8930466795 | @cevetri | aula | нажал кнопку: fm:open:1111:0
[13.09.2026 18:38:21] ID:8930466795 | @cevetri | aula | нажал /start
[13.09.2026 18:38:31] ID:8930466795 | @cevetri | aula | нажал кнопку: music
[13.09.2026 18:38:34] ID:8930466795 | @cevetri | aula | нажал кнопку: music_next
[13.09.2026 18:38:38] ID:8930466795 | @cevetri | aula | нажал кнопку: music_pause
[13.09.2026 18:40:32] ID:8930466795 | @cevetri | aula | нажал /start
